Address,Twitter,User Reward,Supply Percent
tz1UU3QnUDJw57zWTwuwonUVvtZRJj43kYGf,@leander_dn,9,0.0988%
tz1VCjq6K1XpxTYstoHF2TuG8AFr4vp3JC8G,@_cel_0,9,0.0988%
tz1Wwe1nC7QmLXNa1rTm2ZAojm3HjDQ2jrj6,@nodeartnet,9,0.0988%
tz1Y6yDurLYsrFPRd4NrwBHVy56AQRsS37Ua,@Guandanarian,9,0.0988%
tz1YHLm7Lq27q3rgVXLY424zQMkvncVvNiaK,@Ne3DNe,9,0.0988%
tz1YZ4VZCRPoiDyGP3U69jCq2S8duDUcRjHP,@LorenBednar,9,0.0988%
tz1Z1mMAbNr8SquKcMmBP6cEGA7cifvjvyRB,@verticalcrypto,9,0.0988%
tz1ZkwEb9TbyhcstjhNA8CkCDStirzbswrpA,@oibel1,9,0.0988%
tz1ZpAwqP9p969DMDyFQj8VK5LaUCQzXBgHi,@radorossum,9,0.0988%
tz28xUkntG7FK4nAYVLB8mFrd468hvzeDEVB,,9,0.0988%
tz2GSEx85Bbjso46QeFhMij3xV7GPpCgD3n9,,9,0.0988%
tz1aRPbvjrtvt7wC9352giq3LhWpH3s8NoBv,@OmRigdenJyepo,8,0.0878%
tz1dhmUMLa3ZeVC3GJWfQty4VfgHdkd6xacQ,@aigardening1,8,0.0878%
tz1dW4z811rbrACxH5PTu5VtdhRisLZUDhdU,,8,0.0878%
tz1h7nm7HMLmXbeQVGHCEyHd43kP7qXwUHSB,,8,0.0878%
tz1ibTknNagJCgQPgcbPvJhpSyS5vxgdyFt4,@ChrisRandallAr1,8,0.0878%
tz1RRXhv8nJbq6siCZE3UbpPXQG2EuL9TzS1,@_danielyamada,8,0.0878%
tz1Td8EcRFNWTLQdvZpsnAfAdg6AuMQ2f4AB,@itsinthestairs,8,0.0878%
tz1TeRrBjHuZGRXLnRfX3Lna3QujCZ8sqzVF,,8,0.0878%
tz1TQcXkpNSFoQHX86WuNmTqJmwDwg2cAjhx,@uncertaingaze,8,0.0878%
tz1YJvMiZyXnzvV9pxtAiuCFvaG7XoBZhbUQ,@1x1_NFT,8,0.0878%
tz2EaL8HTqjZhVAWrQ3Ddp4wNCxPeE8CtM5f,@ExpIPiequalsOne,8,0.0878%
tz2G4ruLffRkzHxXnqPwMDW7s61Q6xgYXW12,,8,0.0878%
tz2SAYQ4yLDCycmqJU51LtNMGMT5tyK3PKkW,,8,0.0878%
tz2WTz6a8Yw8ZHGWSw3igVSPHYH5AjcbLNdx,,8,0.0878%
tz1a3ZWW7sdgX3JGp3h316TvsgpiVGWFYihe,@solarise_webdev,7,0.0768%
