Address,Collage 001 Reward,MATH Reward
tz1QoWMj2S3q274rFkAtD7EybABHaPHd3Nxh,1,5
tz1TQ3Gi42BHwJvNCDLGFVXxYcn4p9AkrvRC,1,5
tz2TzW5tR531iMhWagkdNXvfp49bDMNqGLJd,1,5
tz1cALi4cQRKtSMCU92nkmtQtZPZGppeHke1,1,5
tz1bie4qAmN9VnwM9zZ83bRJLxenvLz9DCiw,1,5
tz1KrBYWqGriNsu7suyme2xvDZrgZFs9ERJh,1,5
tz1gTe4K4QxKrxK4WvgVq4ypJkf9GqqGFvZB,1,5
tz1ivPazCcMa38ZPE3vwewietTzLeYTWau2Z,1,5
tz1QUgtPkZTsczKCmuTArg8naZSYEbaZotdL,1,5
tz1VxQSiYnYWFu8iqeNESdvQz5f6hDctq8zi,1,5
tz1WSc7L26aD14FtVC1ZjngUaUFNAxvChBqe,1,5
tz1QPAWDqontEKTgYyHss62m7LiAQw8VX5sW,1,5
tz1QETJtQrvb1YrqKNNS2T1rdVuNa6Y7s7iS,1,5
tz2K1rDmszPuzVQYUcyDFxeSm7ZEJdDvhXx4,1,5
tz1PcF3U6KDKxLX5CNYUgh31FtrensvXS1vQ,1,5
tz2ENZEaCWY6j9jEnfjKVPkS7BzAP89RvWdM,1,5
tz1Nbgg46KKQVGt2itPZYARPfcgRQq11HSTp,1,2
tz1PqooZUtCQqP539PmMzUWHtaUX6EQtFY5S,1,4
